Date,Location,State/Region,Accident_Type,Fatalities,Injuries,Cause,Train_Involved
09-12-1902,Mangapatnam,Madras Presidency,Derailment,100,Not specified,Not specified,Bombay-Madras Mail
12-02-1908,Barara,Punjab Province,Collision,22,24,Not specified,Not specified
04-27-1920,Moradabad,United Provinces,Collision,120,50,Not specified,Doon Express
10-07-1920,Arakkonam,Madras Presidency,Derailment,40,Not specified,Not specified,Madras-Bangalore mail
07-17-1937,Bihta,Not specified,Derailment,119,180,Not specified,Upper India Express
06-28-1939,Bombay,Not specified,Crash,10,21,Not specified,Not specified
10-04-1942,Bombay,Not specified,Derailment,12,40,Not specified,Frontier Mail
04-12-1950,Not specified,Not specified,Derailment and crash,50,73,Not specified,Kumaon Express
05-07-1950,Not specified,Bihar,Bridge accident,100,Not specified,Not specified,Not specified
09-03-1951,Delhi,Not specified,Derailment,10,30,Not specified,Saharanpur Express
01-04-1954,Bhatinda,Punjab,Derailment,15,40,Bridge accident,Not specified
03-31-1954,Gorakhpur,Uttar Pradesh,Explosion,31,32,Explosives detonation,Not specified
09-15-1954,Not specified,Not specified,Level crossing accident,10,18,Collision with truck,Not specified
09-27-1954,Jangaon,Hyderabad State,Derailment,136,Not specified,Bridge accident,Not specified
09-28-1954,Not specified,Hyderabad,Bridge collapse,139,100,Bridge collapse,Not specified
09-02-1956,Mahbubnagar,Andhra Pradesh,Bridge collapse,125,22,Bridge collapse,Not specified
11-23-1956,Ariyalur,Not specified,Derailment,104,100,Embankment weakened by flooding,Madras-Tuticorin Express
06-02-1957,Bombay,Not specified,Collision,18,53,Not specified,Not specified
07-23-1957,Tatanagar,Bihar,Collision,Not specified,Not specified,Not specified,Hazaribagh-Howrah Express
08-19-1957,Between Palasa and Pundi,Andhra Pradesh,Derailment,4,9,Not specified,Janata Express
08-21-1957,Katpadi,Madras State,Explosion,5,Not specified,Fire crackers explosion,Not specified
11-08-1957,Jawapur,Uttar Pradesh,Collision,Not specified,Not specified,Not specified,Not specified
11-23-1957,Padali,Maharashtra,Derailment,9,54,Not specified,Bombay–Calcutta Mail
10-20-1959,Badanpur,Uttar Pradesh,Collision,Not specified,Not specified,Not specified,Not specified
03-08-1961,Kalihar,Bihar,Collision,11,37,Not specified,Not specified
10-20-1961,Not specified,Not specified,Derailment,47,Not specified,Not specified,Ranchi Express
07-22-1962,Dumraon,Bihar,Collision,100,Not specified,Not specified,Punjab Mail
07-22-1963,Etmadpur,Uttar Pradesh,Derailment,100,Not specified,Not specified,Udyan Abha Toofan Express
12-23-1964,Rameswaram,Not specified,Natural disaster,126,Not specified,Cyclone,Pamban-Dhanuskodi passenger train
06-19-1965,Not specified,Not specified,Collision,15,Not specified,Not specified,Not specified
02-16-1966,Not specified,Assam,Bombing,27,Not specified,Sabotage by Naga separatists,Not specified
04-20-1966,Lumding,Assam,Bombing,55,127,Sabotage by Naga separatists,Not specified
04-23-1966,Diphu,Assam,Bombing,40,60,Sabotage by Naga separatists,Not specified
06-13-1966,Matunga,Bombay,Collision,57,100,Not specified,Not specified
03-19-1968,Yalvigi,Karnataka,Collision,53,42,Not specified,Deccan Express
02-04-1969,Madras,Not specified,Bridge accident,32,50,Passengers swept off train roof by bridge girders,Not specified
06-21-1969,Muhammadabad,Uttar Pradesh,Derailment,70,130,Not specified,Not specified
07-14-1969,Jaipur,Rajasthan,Collision,85,130,Not specified,Not specified
04-26-1972,Not specified,Mysore state,Derailment,21,37,Not specified,Not specified
02-21-1974,Moradabad,Uttar Pradesh,Collision,41,63,Not specified,Not specified
05-30-1977,Guwahati,Not specified,Bridge collapse,45,100,Bridge collapse,Tezpur Express
11-23-1977,Rewari,Haryana,Derailment,20,21,Not specified,Not specified
04-18-1978,Bassain Road,Bombay,Collision,30,60,Rear-end collision,Not specified
11-14-1979,Matunga,Bombay,Collision,5,50,Not specified,Not specified
12-23-1979,Sarupeta,Assam,Collision,18,25,Rear-end collision,Rajya Rani Express
02-12-1981,Vaniyambadi,Tamil Nadu,Collision,19,50,Not specified,Trivandrum Mail and Yercaud Express
06-06-1981,Not specified,Bihar,Derailment,235,Several,Train fell into Bagmati River,Not specified
07-16-1981,Between Khdori and Bhanwar Tonk,Madhya Pradesh,Collision,50,49,Rear-end collision,Narmada Express
07-19-1981,Not specified,Gujarat,Derailment,30,70,Track sabotage,New Delhi to Ahmedabad passenger train
01-28-1982,Agra Cantonment,Uttar Pradesh,Collision,61,23,Heavy fog,Dakshin Express
03-20-1982,Not specified,Andhra Pradesh,Level crossing accident,59,25,Collision with tourist bus,Mangalore Central to New Delhi express train
02-10-1984,Bahadurgarh,Haryana,Collision,43,58,Rear-end collision,Punjab Mail
09-15-1984,Charegaon,Madhya Pradesh,Bridge accident,112,Several,Bridge washed away by flash floods,Jabalpur – Gondia passenger train
11-22-1984,Byculla,Not specified,Derailment,25,100,Not specified,Mumbai local train
02-23-1985,Rajnandgaon,Madhya Pradesh,Fire,50,Not specified,Not specified,Not specified
06-13-1985,Agra,Uttar Pradesh,Collision,38,Not specified,Not specified,Not specified
11-22-1985,Dhupguri,West Bengal,Collision,1,300,Not specified,Tinsukia Mail
03-10-1986,Khagaria,Bihar,Collision,50,200,Not specified,Not specified
08-06-1986,Palamau district,Bihar,Collision,52,35,Not specified,Not specified
07-08-1987,Mancherial,Andhra Pradesh,Derailment,53,Not specified,Not specified,Dakshin Express
03-15-1987,Ariyalur,Tamil Nadu,Derailment,25,Not specified,Bombing,Rockfort Express
04-18-1988,Lalitpur,Uttar Pradesh,Derailment,75,Not specified,Not specified,Karnataka Express
07-08-1988,Peruman,Kerala,Derailment,105,200,Not specified,Island Express
11-01-1989,Sakaldiha,Uttar Pradesh,Derailment,48,Not specified,Not specified,Udyan Abha Toofan Express
04-16-1990,Patna,Bihar,Fire,70,Not specified,Not specified,Shuttle train
06-06-1990,Gollagudem,Andhra Pradesh,Fire,36,Not specified,Not specified,Not specified
06-25-1990,Mangra,Bihar,Collision,60,Not specified,Not specified,Not specified
10-10-1990,Cherlapally,Andhra Pradesh,Fire,40,Not specified,Not specified,Not specified
03-06-1991,Makalidurga,Karnataka,Derailment,30,Not specified,Heavy rain,Karnataka Express
12-12-1991,Jawali,Himachal Pradesh,Derailment,27,Not specified,Not specified,Kangra Valley Railway
09-05-1992,Raigarh,Madhya Pradesh,Collision,41,Not specified,Not specified,Not specified
